@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
178,137,13,35,165,0.175,0.913333,0.796512,0.913333,0.203488,0.850932,0.491429,1.858527,0.306404
179,137,13,34,166,0.17,0.913333,0.80117,0.913333,0.19883,0.853583,0.488571,1.869396,0.314432
180,137,13,33,167,0.165,0.913333,0.805882,0.913333,0.194118,0.85625,0.485714,1.880392,0.332575
181,136,14,33,167,0.165,0.906667,0.804734,0.906667,0.195266,0.852665,0.482857,1.877712,0.342466
182,135,15,33,167,0.165,0.9,0.803571,0.9,0.196429,0.849057,0.48,1.875,0.343803
183,135,15,32,168,0.16,0.9,0.808383,0.9,0.191617,0.851735,0.477143,1.886228,0.344087
184,135,15,31,169,0.155,0.9,0.813253,0.9,0.186747,0.85443,0.474286,1.89759,0.349361
185,134,16,31,169,0.155,0.893333,0.812121,0.893333,0.187879,0.850794,0.471429,1.894949,0.375318
186,133,17,31,169,0.155,0.886667,0.810976,0.886667,0.189024,0.847134,0.468571,1.892276,0.377654
187,133,17,30,170,0.15,0.886667,0.815951,0.886667,0.184049,0.84984,0.465714,1.903885,0.381655
188,132,18,30,170,0.15,0.88,0.814815,0.88,0.185185,0.846154,0.462857,1.901235,0.382391
189,131,19,30,170,0.15,0.873333,0.813665,0.873333,0.186335,0.842444,0.46,1.898551,0.38694
190,130,20,30,170,0.15,0.866667,0.8125,0.866667,0.1875,0.83871,0.457143,1.895833,0.390853
191,129,21,30,170,0.15,0.86,0.811321,0.86,0.188679,0.834951,0.454286,1.893082,0.394959
192,129,21,29,171,0.145,0.86,0.816456,0.86,0.183544,0.837662,0.451429,1.905063,0.403153
193,129,21,28,172,0.14,0.86,0.821656,0.86,0.178344,0.840391,0.448571,1.917197,0.406532
194,129,21,27,173,0.135,0.86,0.826923,0.86,0.173077,0.843137,0.445714,1.929487,0.412475
195,129,21,26,174,0.13,0.86,0.832258,0.86,0.167742,0.845902,0.442857,1.941935,0.425903
196,129,21,25,175,0.125,0.86,0.837662,0.86,0.162338,0.848684,0.44,1.954545,0.428482
197,129,21,24,176,0.12,0.86,0.843137,0.86,0.156863,0.851485,0.437143,1.96732,0.429615
198,129,21,23,177,0.115,0.86,0.848684,0.86,0.151316,0.854305,0.434286,1.980263,0.430206
199,129,21,22,178,0.11,0.86,0.854305,0.86,0.145695,0.857143,0.431429,1.993377,0.436037
200,129,21,21,179,0.105,0.86,0.86,0.86,0.14,0.86,0.428571,2.006667,0.437062
201,129,21,20,180,0.1,0.86,0.865772,0.86,0.134228,0.862876,0.425714,2.020134,0.439603
202,129,21,19,181,0.095,0.86,0.871622,0.86,0.128378,0.865772,0.422857,2.033784,0.439875
203,129,21,18,182,0.09,0.86,0.877551,0.86,0.122449,0.868687,0.42,2.047619,0.442149
204,128,22,18,182,0.09,0.853333,0.876712,0.853333,0.123288,0.864865,0.417143,2.045662,0.446395
205,127,23,18,182,0.09,0.846667,0.875862,0.846667,0.124138,0.861017,0.414286,2.043678,0.448957
206,126,24,18,182,0.09,0.84,0.875,0.84,0.125,0.857143,0.411429,2.041667,0.453636
207,125,25,18,182,0.09,0.833333,0.874126,0.833333,0.125874,0.853242,0.408571,2.039627,0.460332
208,125,25,17,183,0.085,0.833333,0.880282,0.833333,0.119718,0.856164,0.405714,2.053991,0.463929
209,124,26,17,183,0.085,0.826667,0.879433,0.826667,0.120567,0.852234,0.402857,2.052009,0.469638
210,123,27,17,183,0.085,0.82,0.878571,0.82,0.121429,0.848276,0.4,2.05,0.46969
211,123,27,16,184,0.08,0.82,0.884892,0.82,0.115108,0.851211,0.397143,2.064748,0.470436
212,123,27,15,185,0.075,0.82,0.891304,0.82,0.108696,0.854167,0.394286,2.07971,0.480527
213,122,28,15,185,0.075,0.813333,0.890511,0.813333,0.109489,0.850174,0.391429,2.077859,0.492819
214,122,28,14,186,0.07,0.813333,0.897059,0.813333,0.102941,0.853147,0.388571,2.093137,0.498946
